City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,manali,13.17,80.27,86.0,70,75,13.87,IN,1592676713
151,ananas,19.25,-71.96,89.37,50,17,2.19,HT,1592676714
152,saldanha,-33.01,17.94,62.6,77,53,2.24,ZA,1592676714
153,havelock,34.88,-76.9,84.2,54,40,6.93,US,1592676701
154,victoria,22.29,114.16,84.0,74,32,5.99,HK,1592676443
155,kavieng,-2.57,150.8,82.49,74,63,5.41,PG,1592676505
156,matara,5.95,80.54,80.85,85,94,12.46,LK,1592676714
157,aksu,41.12,80.26,72.16,31,75,6.71,CN,1592676714
158,cabra,37.47,-4.44,91.99,21,0,1.01,ES,1592676715
159,torbay,47.67,-52.73,46.99,100,90,12.75,CA,1592676715
160,santa marta,11.24,-74.2,89.6,70,75,8.05,CO,1592676715
161,denpasar,-8.65,115.22,80.6,94,40,13.87,ID,1592676473
162,saint-joseph,-21.37,55.62,68.0,77,56,5.82,RE,1592676715
163,luderitz,-26.65,15.16,59.0,82,0,10.29,NA,1592676715
164,comodoro rivadavia,-45.87,-67.5,55.4,47,100,12.75,AR,1592676716
165,khandbari,27.37,87.2,73.02,70,8,0.38,NP,1592676716
166,mingguang,32.78,117.96,69.51,93,97,3.51,CN,1592676716
167,america dourada,-11.46,-41.44,81.91,48,15,14.94,BR,1592676716
168,kirakira,-10.45,161.92,78.26,82,100,8.97,SB,1592676716
169,biak,-0.91,122.88,77.25,81,100,5.53,ID,1592676521
170,cherskiy,68.75,161.3,74.41,38,75,5.97,RU,1592676717
171,raton,36.9,-104.44,72.0,49,1,10.29,US,1592676717
172,juneau,58.3,-134.42,55.4,93,90,8.05,US,1592676717
173,port-gentil,-0.72,8.78,78.8,83,75,14.99,GA,1592676717
174,thompson,55.74,-97.86,46.4,93,90,11.41,CA,1592676717
175,korla,41.76,86.15,76.26,19,0,11.88,CN,1592676717
176,albanel,48.88,-72.45,80.6,54,75,5.82,CA,1592676573
177,tecoh,20.75,-89.47,91.0,66,75,6.93,MX,1592676717
178,saint george,37.1,-113.58,91.0,12,1,4.5,US,1592676568
179,nizip,37.01,37.79,75.2,41,40,11.41,TR,1592676718
180,gondanglegi,-7.75,112.01,74.57,85,82,9.98,ID,1592676718
181,ribeira grande,38.52,-28.7,69.8,83,40,16.11,PT,1592676718
182,polur,12.5,79.13,86.77,58,100,2.66,IN,1592676718
183,mnogovershinnyy,53.94,139.92,38.14,100,87,3.51,RU,1592676718
184,grindavik,63.84,-22.43,53.6,81,75,24.16,IS,1592676482
185,katsuura,35.13,140.3,71.01,91,95,2.84,JP,1592676545
186,qaanaaq,77.48,-69.36,39.58,72,100,7.49,GL,1592676719
187,khandyga,62.67,135.6,54.39,97,48,3.78,RU,1592676719
188,chokurdakh,70.63,147.92,77.02,33,0,8.48,RU,1592676719
189,oriximina,-1.77,-55.87,86.65,65,76,5.99,BR,1592676719
190,vestmanna,62.16,-7.17,55.4,93,52,6.93,FO,1592676719
191,nantucket,41.28,-70.1,73.4,73,1,12.75,US,1592676719
192,hithadhoo,-0.6,73.08,83.57,73,87,6.24,MV,1592676719
193,nemuro,43.32,145.57,48.63,88,7,10.47,JP,1592676720
194,jinchang,38.5,102.17,76.87,35,92,17.11,CN,1592676720
